2024-10-08 15:58:21.487 INFO  [background-preinit] org.hibernate.validator.internal.util.Version : HV000001: Hibernate Validator 8.0.1.Final
2024-10-08 15:58:21.503 INFO  [main] top.zxk.springboot.database.service.ArticleServiceTest : Starting ArticleServiceTest using Java 17.0.1 with PID 9668 (started by Administrator in D:\code\spring-boot-practice)
2024-10-08 15:58:21.504 INFO  [main] top.zxk.springboot.database.service.ArticleServiceTest : No active profile set, falling back to 1 default profile: "default"
2024-10-08 15:58:22.043 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-08 15:58:22.078 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 28 ms. Found 1 JPA repository interface.
2024-10-08 15:58:22.177 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner : No MyBatis mapper was found in '[top.zxk.springboot.database]' package. Please check your configuration.
2024-10-08 15:58:22.501 INFO  [main] org.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-10-08 15:58:22.569 INFO  [main] org.hibernate.Version : HHH000412: Hibernate ORM core version 6.5.2.Final
2024-10-08 15:58:22.615 INFO  [main] org.hibernate.cache.internal.RegionFactoryInitiator : HHH000026: Second-level cache disabled
2024-10-08 15:58:22.906 INFO  [main] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-10-08 15:58:22.929 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2024-10-08 15:58:23.032 INFO  [main] com.zaxxer.hikari.pool.HikariPool : HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2b5f8e61
2024-10-08 15:58:23.033 INFO  [main] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2024-10-08 15:58:23.064 WARN  [main] org.hibernate.orm.deprecation : HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-10-08 15:58:23.624 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-10-08 15:58:23.654 INFO  [main] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-10-08 15:58:23.939 WARN  [main] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-10-08 15:58:24.371 INFO  [main] top.zxk.springboot.database.service.ArticleServiceTest : Started ArticleServiceTest in 3.164 seconds (process running for 3.949)
2024-10-08 15:58:24.756 INFO  [main] top.zxk.springboot.database.service.ArticleServiceTest : Article(id=1, author=张三, title=SpringBoot, content=SpringBoot 从入门到精通)
2024-10-08 15:58:24.770 INFO  [SpringApplicationShutdownHook] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-08 15:58:24.772 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown initiated...
2024-10-08 15:58:24.778 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Shutdown completed.
